model_name,model_type,quantization,batch_size,elapsed_time,accuracy,precision,recall,f1
resnet18,trt,int8,8,14.897097826004028,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,trt,FP16,64,14.484665870666504,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,pytorch,fp16,8,13.906381607055664,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,64,13.164464712142944,0.7,0.7,0.7,0.6833333333333333
resnet18,pytorch,fp16,8,89.6102614402771,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,16.478171348571777,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,32.37518668174744,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,16.573872566223145,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,32.67294383049011,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,16.471807956695557,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,1,17.944753408432007,1.0,1.0,1.0,1.0
resnet18,pytorch,fp16,8,16.629097938537598,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,16,3.543766498565674,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,64,4.547415733337402,0.7,0.7,0.7,0.6833333333333333
resnet18,pytorch,fp16,64,3.647686243057251,0.7,0.7,0.7,0.6833333333333333
resnet18,trt,FP16,64,16.341564893722534,0.8136540330417882,0.8282380173573027,0.8136540330417882,0.8131801218256752
resnet18,trt,int8,8,15.950648546218872,0.8119533527696793,0.8261436298748507,0.8119533527696793,0.8110141047630972
resnet18,pytorch,fp16,8,3.1509010791778564,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,3.087496519088745,0.75,0.75,0.75,0.75
resnet18,pytorch,none,8,17.393986225128174,0.75,0.75,0.75,0.75
resnet18,pytorch,fp16,8,3.6268317699432373,0.75,0.75,0.75,0.75
resnet18,pytorch,none,8,31.983673572540283,0.75,0.75,0.75,0.75
resnet18,pytorch,none,8,14.979461669921875,1.0,1.0,1.0,1.0
resnet18,pytorch,fp16,8,3.570737838745117,0.75,0.75,0.75,0.75
